nepRobot,robot
nepNorm,make_silence
evmEventCausation,robot_malfunctioning
evmAscriptionJustification,justification
evmResponsibilityAscription,responsibility_ascription_robot
evmEthicalBehaviorMonitor,monitor
evmNormViolation,make_sound
nepAgentPlan,move
nepPlanAction,move_quietly
nepAgentAction,move_slowly
nepEnvironment,silent_room
nepSituation,robot_in_movement


nepis_implemented_by,move_quietly,move_slowly
evmobserves,monitor,robot
evmcause,robot_malfunctioning,move_slowly
evmeffect,robot_malfunctioning,make_sound
evmis_violation_of,make_sound,make_silence
evmcontributes_to,robot_malfunctioning,justification
evmjustifies,justification,responsibility_ascription_robot
nepintends_to_realize,robot,robot_in_movement
nepcontains,move,move_quietly
tloaffects,move_slowly,silent_room
evmdetects,monitor,make_sound
nepis_perceived_by,silent_room,robot
nepis_perception_of,robot_in_movement,silent_room
